Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Álex Abrines,SG,24,OKC,6,0,110,8,20,0.4,6,13,0.462,2,7,0.286,0.55,2,2,1,3,13,16,2,5,2,1,11,24,abrinal01
2,Steven Adams,C,24,OKC,6,6,200,27,46,0.587,0,0,,27,46,0.587,0.587,9,13,0.692,19,26,45,9,4,4,4,15,63,adamsst01
3,Bam Adebayo,C,20,MIA,5,0,77,7,15,0.467,0,1,0,7,14,0.5,0.467,3,14,0.214,9,11,20,0,0,2,2,8,17,adebaba01
4,LaMarcus Aldridge,C,32,SAS,5,5,177,37,80,0.463,3,5,0.6,34,75,0.453,0.481,41,42,0.976,13,33,46,12,3,2,9,9,118,aldrila01
5,Al-Farouq Aminu,PF,27,POR,4,4,131,27,52,0.519,13,30,0.433,14,22,0.636,0.644,2,2,1,12,24,36,5,4,2,6,8,69,aminual01
6,Justin Anderson,SF,24,PHI,7,0,33,3,8,0.375,2,7,0.286,1,1,1,0.5,0,0,,1,8,9,0,1,0,2,8,8,anderju01
7,Kyle Anderson,SF,24,SAS,5,1,73,12,20,0.6,0,4,0,12,16,0.75,0.6,3,4,0.75,5,8,13,3,6,1,3,10,27,anderky01
8,Ryan Anderson,PF,29,HOU,11,0,95,7,20,0.35,5,15,0.333,2,5,0.4,0.475,0,0,,4,9,13,6,3,1,3,10,19,anderry01
9,Giannis Antetokounmpo,PF,23,MIL,7,7,280,69,121,0.57,4,14,0.286,65,107,0.607,0.587,38,55,0.691,8,59,67,44,10,6,17,28,180,antetgi01
10,Carmelo Anthony,PF,33,OKC,6,6,194,27,72,0.375,6,28,0.214,21,44,0.477,0.417,11,15,0.733,3,31,34,2,10,4,6,14,71,anthoca01
11,OG Anunoby,SF,20,TOR,10,10,238,29,52,0.558,13,29,0.448,16,23,0.696,0.683,8,11,0.727,9,12,21,7,6,4,6,23,79,anunoog01
12,Trevor Ariza,SF,32,HOU,17,17,582,50,139,0.36,26,91,0.286,24,48,0.5,0.453,23,31,0.742,9,56,65,22,19,2,10,44,149,arizatr01
